tau,paired,seed,fano,detection,mean_weight
7,0,18,0.9205858605675086,0.65175,0.9957
7,1,19,0.3068766165535914,0.9998,4.0323
7,0,19,0.9328719682737383,0.6446,0.9856
7,1,20,0.5004045086755367,0.99185,3.27925
7,0,20,0.9162542526103288,0.64385,0.9775
7,1,21,0.2972655513906326,0.9997,4.0473
7,0,21,0.9217201178036888,0.646,0.9812
7,1,22,0.29907154339963765,0.99975,4.04715
7,0,22,0.923787931351699,0.6459,0.9851
7,1,23,0.5035595291214943,0.99145,3.275
7,0,23,0.9376760702134309,0.6434,0.9919
7,1,24,0.30721472782499887,0.9997,4.04875
7,0,24,0.9467205827758096,0.6427,0.98745
7,1,25,0.5140146817133845,0.9916,3.27275
7,0,25,0.9596378293508069,0.642,0.9899
7,1,26,0.30621768495296775,0.99975,4.04685
7,0,26,0.9133411528354418,0.65125,0.98965
7,1,27,0.3058626253256757,0.99965,4.0389
7,0,27,0.957253565325924,0.63935,0.982
7,1,28,0.30368683399169527,0.99975,4.04995
7,0,28,0.912355408693433,0.6471,0.9805
7,1,29,0.3007189566830721,1.0,4.05855
7,0,29,0.9313564392308508,0.6414,0.97985
7,1,30,0.30235736559456816,0.9999,4.04075
7,0,30,0.9355106064014357,0.64425,0.9815
